,Id,Prediction
0,r81_c4,2
1,r401_c4,5
2,r410_c4,5
3,r485_c4,5
4,r515_c4,1
5,r563_c4,4
6,r595_c4,2
7,r763_c4,5
8,r1435_c4,3
9,r1525_c4,5
10,r1895_c4,4
11,r2078_c4,4
12,r2134_c4,4
13,r2144_c4,5
14,r2458_c4,5
15,r2526_c4,3
16,r2890_c4,5
17,r3069_c4,5
18,r3130_c4,5
19,r3288_c4,5
20,r3645_c4,5
21,r3915_c4,5
22,r4027_c4,5
23,r4519_c4,5
24,r5013_c4,4
25,r5319_c4,4
26,r5512_c4,5
27,r5566_c4,3
28,r5677_c4,2
29,r5768_c4,5
30,r5874_c4,5
31,r5889_c4,5
32,r5902_c4,5
33,r5938_c4,5
34,r5995_c4,3
35,r6096_c4,4
36,r6789_c4,3
37,r6915_c4,5
38,r7239_c4,5
39,r7254_c4,2
40,r7319_c4,5
41,r7335_c4,5
42,r7420_c4,5
43,r7757_c4,2
44,r7846_c4,5
45,r7878_c4,5
46,r7983_c4,5
47,r8288_c4,5
48,r8359_c4,5
49,r8575_c4,5
50,r8991_c4,5
51,r9093_c4,5
52,r9095_c4,3
53,r9102_c4,5
54,r9138_c4,4
55,r9171_c4,5
56,r9177_c4,5
57,r9304_c4,5
58,r9314_c4,5
59,r9414_c4,3
60,r9792_c4,3
61,r9799_c4,3
62,r9916_c4,3
63,r9930_c4,3
64,r81_c6,5
65,r401_c6,5
66,r485_c6,5
67,r515_c6,5
68,r563_c6,5
69,r727_c6,5
70,r1435_c6,5
71,r1456_c6,5
72,r1525_c6,4
73,r1895_c6,5
74,r2078_c6,5
75,r2340_c6,5
76,r2890_c6,5
77,r3054_c6,5
78,r3130_c6,5
79,r3645_c6,5
80,r3811_c6,5
81,r4195_c6,5
82,r4280_c6,5
83,r4863_c6,5
84,r4898_c6,5
85,r4995_c6,5
86,r5013_c6,5
87,r5348_c6,5
88,r5383_c6,4
89,r5400_c6,5
90,r5559_c6,5
91,r5566_c6,5
92,r5677_c6,5
93,r5874_c6,5
94,r5889_c6,5
95,r5902_c6,5
96,r5938_c6,5
97,r5995_c6,5
98,r6096_c6,5
99,r6915_c6,5
100,r7239_c6,5
101,r7254_c6,5
102,r7261_c6,5
103,r7319_c6,5
104,r7335_c6,5
105,r7878_c6,5
106,r7912_c6,5
107,r8288_c6,5
108,r8345_c6,5
109,r8359_c6,5
110,r8480_c6,4
111,r8575_c6,5
112,r8991_c6,2
113,r9095_c6,5
114,r9102_c6,5
115,r9138_c6,5
116,r9157_c6,5
117,r9171_c6,5
118,r9314_c6,5
119,r9691_c6,5
120,r9916_c6,5
121,r9970_c6,5
122,r81_c8,5
123,r401_c8,2
124,r485_c8,3
125,r515_c8,1
126,r727_c8,5
127,r763_c8,4
128,r2078_c8,5
129,r2134_c8,5
130,r2144_c8,2
131,r2178_c8,5
132,r2340_c8,5
133,r2458_c8,2
134,r2890_c8,3
135,r3087_c8,2
136,r3288_c8,5
137,r3645_c8,4
138,r3811_c8,4
139,r3915_c8,3
140,r3952_c8,5
141,r4027_c8,5
142,r4280_c8,3
143,r4519_c8,5
144,r4995_c8,2
145,r5013_c8,5
146,r5319_c8,5
147,r5348_c8,5
148,r5383_c8,5
149,r5400_c8,5
150,r5559_c8,5
151,r5677_c8,3
152,r5706_c8,5
153,r5768_c8,5
154,r5874_c8,5
155,r5902_c8,5
156,r5938_c8,5
157,r5995_c8,5
158,r6096_c8,3
159,r6789_c8,5
160,r6915_c8,4
161,r7239_c8,1
162,r7254_c8,5
163,r7335_c8,3
164,r7420_c8,5
165,r7608_c8,5
166,r7757_c8,4
167,r7846_c8,5
168,r7878_c8,5
169,r7912_c8,5
170,r7983_c8,5
171,r8288_c8,5
172,r8345_c8,2
173,r8359_c8,5
174,r8480_c8,4
175,r8991_c8,3
176,r9095_c8,3
177,r9171_c8,5
178,r9177_c8,5
179,r9304_c8,5
180,r9314_c8,5
181,r9414_c8,4
182,r9525_c8,5
183,r9691_c8,4
184,r9916_c8,1
185,r9930_c8,5
186,r9939_c8,2
187,r9970_c8,5
188,r81_c10,3
189,r410_c10,5
190,r563_c10,2
191,r595_c10,4
192,r727_c10,5
193,r763_c10,5
194,r1146_c10,5
195,r1525_c10,2
196,r1878_c10,5
197,r2134_c10,5
198,r2144_c10,5
199,r2340_c10,5
200,r3054_c10,4
201,r3087_c10,4
202,r3130_c10,3
203,r3288_c10,5
204,r3645_c10,5
205,r3811_c10,5
206,r3915_c10,4
207,r4027_c10,5
208,r4519_c10,5
209,r4898_c10,5
210,r4995_c10,5
211,r5013_c10,4
212,r5319_c10,5
213,r5348_c10,4
214,r5400_c10,3
215,r5512_c10,5
216,r5559_c10,2
217,r5706_c10,5
218,r5817_c10,5
219,r5874_c10,2
220,r5889_c10,4
221,r5902_c10,5
222,r5938_c10,5
223,r6341_c10,5
224,r7239_c10,2
225,r7261_c10,5
226,r7335_c10,2
227,r7608_c10,4
228,r8288_c10,5
229,r9304_c10,4
230,r9314_c10,5
231,r9414_c10,4
232,r9691_c10,5
233,r9792_c10,2
234,r9799_c10,5
235,r9916_c10,5
236,r9970_c10,4
237,r401_c14,5
238,r485_c14,5
239,r515_c14,3
240,r595_c14,5
241,r720_c14,5
242,r1146_c14,5
243,r1435_c14,5
244,r1456_c14,5
245,r1878_c14,5
246,r1895_c14,5
247,r2078_c14,5
248,r2134_c14,5
249,r2144_c14,5
250,r2178_c14,4
251,r2340_c14,5
252,r2458_c14,5
253,r2890_c14,5
254,r3054_c14,5
255,r3069_c14,5
256,r3087_c14,5
257,r3130_c14,5
258,r3489_c14,5
259,r3645_c14,5
260,r4027_c14,5
261,r4195_c14,4
262,r4519_c14,5
263,r4876_c14,5
264,r4898_c14,5
265,r5348_c14,5
266,r5512_c14,5
267,r5566_c14,5
268,r5677_c14,5
269,r5768_c14,5
270,r5817_c14,5
271,r5902_c14,5
272,r6341_c14,5
273,r6915_c14,5
274,r7254_c14,5
275,r7261_c14,5
276,r7319_c14,4
277,r7335_c14,5
278,r7608_c14,5
279,r7757_c14,5
280,r7846_c14,5
281,r7912_c14,5
282,r7983_c14,3
283,r8345_c14,5
284,r8359_c14,5
285,r8480_c14,5
286,r9093_c14,5
287,r9102_c14,5
288,r9157_c14,5
289,r9171_c14,5
290,r9177_c14,5
291,r9304_c14,5
292,r9314_c14,5
293,r9939_c14,5
294,r81_c45,5
295,r401_c45,5
296,r410_c45,5
297,r515_c45,3
298,r595_c45,3
299,r720_c45,5
300,r1146_c45,2
301,r1525_c45,5
302,r1878_c45,5
303,r1895_c45,5
304,r2134_c45,5
305,r2144_c45,5
306,r2890_c45,3
307,r3069_c45,5
308,r3130_c45,3
309,r3288_c45,5
310,r3645_c45,4
311,r3811_c45,5
312,r3915_c45,3
313,r3952_c45,5
314,r4027_c45,5
315,r4195_c45,5
316,r4280_c45,5
317,r4519_c45,5
318,r4876_c45,5
319,r4898_c45,4
320,r5013_c45,5
321,r5319_c45,4
322,r5383_c45,5
323,r5677_c45,4
324,r5706_c45,5
325,r5874_c45,3
326,r5889_c45,5
327,r5902_c45,4
328,r5995_c45,5
329,r6341_c45,5
330,r6789_c45,3
331,r6915_c45,5
332,r7420_c45,5
333,r7878_c45,5
334,r8288_c45,5
335,r8575_c45,5
336,r8717_c45,5
337,r8991_c45,1
338,r9095_c45,5
339,r9102_c45,5
340,r9157_c45,3
341,r9177_c45,5
342,r9304_c45,5
343,r9314_c45,5
344,r9525_c45,5
345,r9792_c45,5
346,r9799_c45,5
347,r9916_c45,5
348,r9930_c45,5
349,r81_c46,5
350,r401_c46,5
351,r485_c46,5
352,r515_c46,5
353,r720_c46,5
354,r763_c46,5
355,r1146_c46,5
356,r1435_c46,5
357,r1456_c46,5
358,r1878_c46,5
359,r2078_c46,3
360,r2134_c46,5
361,r3087_c46,5
362,r3130_c46,5
363,r3489_c46,5
364,r3645_c46,5
365,r3811_c46,5
366,r3915_c46,5
367,r3952_c46,4
368,r4280_c46,5
369,r4519_c46,5
370,r4863_c46,5
371,r4876_c46,5
372,r4898_c46,5
373,r4995_c46,5
374,r5013_c46,5
375,r5319_c46,5
376,r5348_c46,5
377,r5512_c46,5
378,r5559_c46,5
379,r5566_c46,5
380,r5677_c46,5
381,r5706_c46,4
382,r5874_c46,5
383,r6096_c46,5
384,r7254_c46,5
385,r7319_c46,5
386,r7335_c46,5
387,r7420_c46,5
388,r8288_c46,5
389,r8345_c46,5
390,r8359_c46,5
391,r8480_c46,5
392,r8575_c46,5
393,r8991_c46,5
394,r9093_c46,5
395,r9095_c46,5
396,r9102_c46,5
397,r9157_c46,5
398,r9304_c46,5
399,r9414_c46,5
400,r9792_c46,5
401,r9799_c46,5
402,r9916_c46,5
403,r9930_c46,5
404,r81_c51,5
405,r401_c51,5
406,r485_c51,4
407,r515_c51,2
408,r563_c51,5
409,r720_c51,5
410,r763_c51,5
411,r1435_c51,5
412,r1878_c51,5
413,r2178_c51,3
414,r2340_c51,5
415,r2458_c51,5
416,r3087_c51,2
417,r3130_c51,5
418,r3489_c51,5
419,r3915_c51,5
420,r3952_c51,3
421,r4027_c51,5
422,r4519_c51,4
423,r4863_c51,3
424,r4876_c51,5
425,r5013_c51,5
426,r5319_c51,4
427,r5383_c51,5
428,r5400_c51,5
429,r5512_c51,5
430,r5677_c51,3
431,r5768_c51,5
432,r5817_c51,5
433,r5938_c51,5
434,r6096_c51,5
435,r7254_c51,1
436,r7261_c51,5
437,r7335_c51,5
438,r7757_c51,5
439,r7878_c51,5
440,r7912_c51,5
441,r8359_c51,3
442,r8575_c51,5
443,r8717_c51,5
444,r9093_c51,5
445,r9095_c51,5
446,r9102_c51,4
447,r9171_c51,5
448,r9177_c51,1
449,r9304_c51,5
450,r9314_c51,5
451,r9414_c51,4
452,r9792_c51,5
453,r9916_c51,2
454,r9930_c51,3
455,r81_c60,5
456,r410_c60,5
457,r485_c60,5
458,r515_c60,5
459,r563_c60,5
460,r720_c60,5
461,r727_c60,5
462,r1146_c60,5
463,r1456_c60,5
464,r1895_c60,4
465,r2078_c60,5
466,r2178_c60,4
467,r2458_c60,5
468,r2526_c60,5
469,r3054_c60,5
470,r3069_c60,5
471,r3087_c60,2
472,r3130_c60,5
473,r3489_c60,3
474,r3645_c60,5
475,r3811_c60,5
476,r4195_c60,5
477,r4280_c60,5
478,r4519_c60,5
479,r4898_c60,5
480,r4995_c60,5
481,r5383_c60,5
482,r5566_c60,4
483,r5677_c60,1
484,r5817_c60,5
485,r5874_c60,5
486,r5889_c60,5
487,r5938_c60,5
488,r6096_c60,5
489,r6789_c60,5
490,r6915_c60,5
491,r7261_c60,5
492,r7319_c60,5
493,r7335_c60,5
494,r7420_c60,5
495,r7608_c60,5
496,r7846_c60,5
497,r7912_c60,5
498,r7983_c60,5
499,r8345_c60,5
500,r8359_c60,5
501,r8480_c60,5
502,r8575_c60,5
503,r8717_c60,5
504,r9095_c60,5
505,r9102_c60,5
506,r9138_c60,5
507,r9177_c60,4
508,r9314_c60,5
509,r9414_c60,4
510,r9525_c60,3
511,r9691_c60,5
512,r9792_c60,5
513,r9916_c60,4
514,r9930_c60,5
515,r9939_c60,5
516,r9970_c60,5
517,r81_c84,5
518,r401_c84,5
519,r410_c84,5
520,r485_c84,4
521,r595_c84,4
522,r720_c84,5
523,r763_c84,3
524,r1435_c84,5
525,r1525_c84,5
526,r1878_c84,5
527,r1895_c84,5
528,r2178_c84,4
529,r2340_c84,5
530,r2458_c84,5
531,r2526_c84,5
532,r2890_c84,5
533,r3054_c84,1
534,r3087_c84,4
535,r3645_c84,4
536,r3811_c84,4
537,r3915_c84,5
538,r4195_c84,5
539,r4280_c84,5
540,r5013_c84,5
541,r5348_c84,5
542,r5383_c84,3
543,r5400_c84,5
544,r5512_c84,5
545,r5559_c84,5
546,r5566_c84,4
547,r5874_c84,5
548,r5889_c84,5
549,r5902_c84,5
550,r5938_c84,5
551,r6341_c84,5
552,r6789_c84,4
553,r7239_c84,5
554,r7261_c84,5
555,r7335_c84,4
556,r7420_c84,5
557,r7608_c84,4
558,r7757_c84,5
559,r7878_c84,5
560,r7912_c84,5
561,r8359_c84,5
562,r8480_c84,5
563,r8717_c84,5
564,r8991_c84,5
565,r9093_c84,5
566,r9095_c84,4
567,r9102_c84,4
568,r9157_c84,3
569,r9414_c84,4
570,r9525_c84,5
571,r9691_c84,5
572,r81_c89,5
573,r401_c89,5
574,r410_c89,5
575,r485_c89,5
576,r515_c89,5
577,r720_c89,5
578,r727_c89,4
579,r1146_c89,5
580,r1435_c89,5
581,r1878_c89,5
582,r2134_c89,5
583,r2144_c89,5
584,r2178_c89,3
585,r2526_c89,4
586,r2890_c89,4
587,r3069_c89,4
588,r3288_c89,5
589,r3645_c89,5
590,r3811_c89,3
591,r3915_c89,5
592,r4027_c89,5
593,r4195_c89,3
594,r4280_c89,3
595,r4519_c89,5
596,r4863_c89,4
597,r4898_c89,5
598,r4995_c89,4
599,r5319_c89,5
600,r5348_c89,4
601,r5383_c89,5
602,r5512_c89,5
603,r5566_c89,5
604,r5817_c89,5
605,r5902_c89,5
606,r5938_c89,5
607,r6341_c89,4
608,r6915_c89,5
609,r7254_c89,5
610,r7420_c89,5
611,r7608_c89,5
612,r7983_c89,2
613,r8288_c89,5
614,r8345_c89,4
615,r8575_c89,5
616,r8991_c89,3
617,r9093_c89,5
618,r9095_c89,3
619,r9138_c89,5
620,r9157_c89,2
621,r9177_c89,4
622,r9304_c89,5
623,r9691_c89,5
624,r9792_c89,4
625,r9799_c89,5
626,r9939_c89,5
627,r9970_c89,5
628,r81_c95,5
629,r401_c95,5
630,r410_c95,5
631,r515_c95,5
632,r563_c95,5
633,r595_c95,2
634,r720_c95,5
635,r763_c95,5
636,r1525_c95,4
637,r2144_c95,5
638,r2178_c95,3
639,r2340_c95,5
640,r2526_c95,3
641,r3069_c95,5
642,r3087_c95,3
643,r3489_c95,4
644,r3915_c95,5
645,r3952_c95,4
646,r4027_c95,5
647,r4280_c95,5
648,r4519_c95,5
649,r4863_c95,5
650,r4876_c95,5
651,r4898_c95,5
652,r4995_c95,4
653,r5013_c95,5
654,r5348_c95,5
655,r5383_c95,5
656,r5400_c95,4
657,r5512_c95,5
658,r5559_c95,5
659,r5677_c95,4
660,r5706_c95,5
661,r5768_c95,3
662,r5817_c95,5
663,r5874_c95,5
664,r5938_c95,5
665,r6096_c95,5
666,r7239_c95,4
667,r7335_c95,5
668,r7420_c95,4
669,r7608_c95,5
670,r7846_c95,5
671,r7912_c95,5
672,r7983_c95,2
673,r8288_c95,5
674,r8345_c95,5
675,r8359_c95,5
676,r8575_c95,5
677,r8991_c95,5
678,r9093_c95,5
679,r9102_c95,4
680,r9138_c95,5
681,r9171_c95,5
682,r9304_c95,5
683,r9314_c95,5
684,r9525_c95,5
685,r81_c106,5
686,r401_c106,5
687,r410_c106,5
688,r485_c106,2
689,r515_c106,3
690,r563_c106,5
691,r595_c106,5
692,r727_c106,3
693,r763_c106,4
694,r1146_c106,5
695,r1456_c106,4
696,r1878_c106,5
697,r2078_c106,5
698,r2134_c106,5
699,r2178_c106,4
700,r2340_c106,1
701,r2458_c106,5
702,r3054_c106,5
703,r3069_c106,5
704,r3130_c106,4
705,r3811_c106,4
706,r4863_c106,5
707,r4876_c106,5
708,r4898_c106,3
709,r4995_c106,3
710,r5383_c106,5
711,r5512_c106,5
712,r5706_c106,5
713,r5874_c106,3
714,r5889_c106,5
715,r5902_c106,4
716,r5995_c106,5
717,r6096_c106,5
718,r6341_c106,3
719,r7319_c106,4
720,r7335_c106,3
721,r7757_c106,5
722,r7878_c106,5
723,r7912_c106,5
724,r7983_c106,2
725,r8345_c106,5
726,r8575_c106,4
727,r8717_c106,5
728,r8991_c106,4
729,r9095_c106,5
730,r9102_c106,5
731,r9138_c106,5
732,r9157_c106,3
733,r9304_c106,5
734,r9414_c106,4
735,r9525_c106,5
736,r9792_c106,4
737,r9799_c106,5
738,r9916_c106,5
739,r9930_c106,5
740,r9939_c106,5
741,r9970_c106,5
742,r81_c131,5
743,r401_c131,5
744,r410_c131,5
745,r485_c131,5
746,r720_c131,5
747,r727_c131,5
748,r763_c131,5
749,r1146_c131,5
750,r1435_c131,5
751,r1525_c131,5
752,r1878_c131,5
753,r2078_c131,5
754,r2144_c131,5
755,r2178_c131,5
756,r2458_c131,5
757,r2890_c131,5
758,r3054_c131,5
759,r3069_c131,5
760,r3087_c131,5
761,r3915_c131,5
762,r4027_c131,5
763,r4195_c131,5
764,r4876_c131,3
765,r4898_c131,5
766,r5013_c131,4
767,r5319_c131,5
768,r5559_c131,5
769,r5566_c131,5
770,r5677_c131,5
771,r5706_c131,5
772,r5889_c131,5
773,r5902_c131,5
774,r5938_c131,5
775,r7254_c131,5
776,r7261_c131,5
777,r7335_c131,4
778,r7420_c131,5
779,r7608_c131,5
780,r7846_c131,5
781,r8288_c131,5
782,r8345_c131,5
783,r8575_c131,4
784,r8717_c131,5
785,r9093_c131,5
786,r9095_c131,5
787,r9102_c131,3
788,r9157_c131,5
789,r9171_c131,5
790,r9177_c131,5
791,r9314_c131,5
792,r9414_c131,5
793,r9525_c131,5
794,r9691_c131,5
795,r9799_c131,5
796,r9916_c131,5
797,r9939_c131,5
798,r81_c134,5
799,r401_c134,5
800,r515_c134,2
801,r720_c134,5
802,r727_c134,5
803,r1146_c134,5
804,r1435_c134,4
805,r1456_c134,5
806,r1525_c134,2
807,r1878_c134,5
808,r1895_c134,5
809,r2134_c134,5
810,r2144_c134,5
811,r2340_c134,5
812,r2526_c134,5
813,r2890_c134,5
814,r3054_c134,5
815,r3069_c134,5
816,r3087_c134,5
817,r3288_c134,5
818,r3811_c134,5
819,r3915_c134,5
820,r4027_c134,5
821,r4195_c134,5
822,r5013_c134,5
823,r5319_c134,3
824,r5348_c134,5
825,r5383_c134,5
826,r5400_c134,5
827,r5559_c134,5
828,r5566_c134,5
829,r5677_c134,5
830,r5706_c134,5
831,r5768_c134,5
832,r5889_c134,5
833,r5902_c134,5
834,r6096_c134,5
835,r6341_c134,5
836,r6789_c134,5
837,r6915_c134,5
838,r7254_c134,5
839,r7261_c134,5
840,r7335_c134,5
841,r7608_c134,5
842,r7878_c134,5
843,r8288_c134,5
844,r8345_c134,5
845,r8480_c134,5
846,r8575_c134,5
847,r8991_c134,2
848,r9093_c134,5
